Saved with py.NMR by Zhe Wang
Homepage: https://wongzit.github.io


  - Magnetic Shielding Tensors -
-----------------------------------
  No.      Atom       Sigma (ppm)
-----------------------------------
    5        H           27.1579
    7        H           27.8845
   13        H           28.8314
   14        H           29.6048
   15        H           29.1709
   17        H           29.0782
   18        H           28.8309
   19        H           28.5883
   26        H           23.9736
   27        H           22.8661
   28        H           24.0874
   29        H           23.9366
   36        H           23.2589
   37        H           23.9442
   38        H           24.1095
   39        H           23.9661
   50        H           24.0595
   51        H           23.2576
   52        H           24.0859
   53        H           23.8234
   60        H           23.3369
   61        H           24.1041
   62        H           24.0658
   63        H           23.8437
   65        H           23.1876
   72        H           23.7747
   73        H           23.5156
   74        H           23.5790
   76        H           23.1841
   78        H           23.6839
   81        H           29.4230
   82        H           29.2679
   84        H           25.9964
   86        H           25.9800
-----------------------------------


     - Scaled Chemical Shift -
-----------------------------------
  No.      Atom       Delta (ppm)
-----------------------------------
    5        H            4.5388
    7        H            3.8528
   13        H            2.9588
   14        H            2.2287
   15        H            2.6383
   17        H            2.7258
   18        H            2.9593
   19        H            3.1883
   26        H            7.5451
   27        H            8.5907
   28        H            7.4377
   29        H            7.5801
   36        H            8.2199
   37        H            7.5729
   38        H            7.4168
   39        H            7.5522
   50        H             7.464
   51        H            8.2211
   52        H            7.4391
   53        H            7.6869
   60        H            8.1462
   61        H            7.4219
   62        H            7.4581
   63        H            7.6678
   65        H            8.2872
   72        H            7.7329
   73        H            7.9775
   74        H            7.9177
   76        H            8.2905
   78        H            7.8186
   81        H            2.4003
   82        H            2.5467
   84        H            5.6354
   86        H            5.6509
-----------------------------------

